,r_id,resource,keff,ReacValue,p0,alpha,nearest_k
1276,5,ap1000,1.0467043338492497,4462.036922833282,1.0,1.0,1.04654
1277,6,ap1000,1.0474149587961084,4526.855225612472,1.0,1.0,1.0473
1278,7,ap1000,1.047478126095439,4532.612654396682,1.0,0.625,1.0473
1279,8,ap1000,1.0439092082298616,4206.22865319079,1.0,1.0,1.04388
1280,4,ap1000,1.0477781662574692,4559.950550232094,1.0,0.9444444444444444,1.04768
1281,5,ap1000,1.046546417182583,4447.620900360152,1.0,0.1388888888888889,1.04654
1282,6,ap1000,1.047241250462775,4511.018873817201,1.0,0.1527777777777778,1.04692
1283,7,ap1000,1.047351792767086,4521.097218154681,1.0,0.1111111067310068,1.0473
1284,8,ap1000,1.0437828748965283,4194.634339145349,1.0,0.1111111111111111,1.0435
1285,4,ap1000,1.0472886245908026,4515.338320348822,1.0,0.4305555555555556,1.04692
1286,5,ap1000,1.045409417182583,4343.696970414043,1.0,1.0,1.0454
1287,6,ap1000,1.0467201254627752,4463.478280989322,1.0,0.4583333333333333,1.04654
1288,7,ap1000,1.0470359594337526,4492.296468899704,1.0,0.2777777777777778,1.04692
1289,8,ap1000,1.042945916563195,4117.751062750596,1.0,0.7361111111111112,1.04274
1290,4,ap1000,1.047130707924136,4500.938380230415,1.0,0.1388888888888889,1.04692
1291,5,ap1000,1.044272417182583,4239.546736475979,1.0,1.0,1.04426
1292,6,ap1000,1.0458989587961085,4388.469690125795,1.0,0.7222222222222222,1.04578
1293,7,ap1000,1.0461042511004193,4407.232936098026,1.0,0.8194444444444444,1.04578
1294,8,ap1000,1.042424791563195,4069.817976947365,1.0,0.4583333333333333,1.04236
1295,4,ap1000,1.047114916257469,4499.498147334624,1.0,0.0138888888888888,1.04692
1296,5,ap1000,1.0441145005159165,4225.063486247769,1.0,0.1388888888888889,1.04388
1297,6,ap1000,1.0458831671294415,4387.026062898964,1.0,0.0138888888888888,1.04578
1298,7,ap1000,1.0460884594337525,4405.789875427952,1.0,0.0138888888888888,1.04578
1299,8,ap1000,1.041287791563195,3965.070165781285,1.0,1.0,1.04122
1300,4,ap1000,1.0465779995908024,4450.504368428708,1.0,0.4722222222222222,1.04654
1301,5,ap1000,1.0437355005159166,4190.285804621783,1.0,0.3333333333333333,1.0435
1302,6,ap1000,1.0447461671294416,4282.970212026404,1.0,1.0,1.04464
1303,7,ap1000,1.0449514594337526,4301.77488417608,1.0,1.0,1.04464
1304,8,ap1000,1.0407666665631952,3916.98426486066,1.0,0.4583333333333333,1.04046
1305,4,ap1000,1.0465779995908024,4450.504368428708,1.0,0.0,1.04654
1306,5,ap1000,1.0437355005159166,4190.285804621783,1.0,0.0,1.0435
1307,6,ap1000,1.0436091671294416,4178.687625885205,1.0,1.0,1.0435
1308,7,ap1000,1.0446198344337525,4271.394526788702,1.0,0.2916666666666667,1.04426
1309,8,ap1000,1.0406561248965285,3906.778033961111,1.0,0.0972222222222222,1.04046
1310,4,ap1000,1.0461200412574692,4408.67581525648,1.0,0.4027777777777778,1.04578
1311,5,ap1000,1.0434196671825833,4161.285103991189,1.0,0.2777777777777778,1.04312
1312,6,ap1000,1.0424721671294417,4074.1775625907912,1.0,1.0,1.04236
1313,7,ap1000,1.0435302094337524,4171.437399725406,1.0,0.9583333333333334,1.0435
1314,8,ap1000,1.0395191248965283,3801.6736729554814,1.0,1.0,1.03932
1315,4,ap1000,1.046072666257469,4404.346633231811,1.0,0.0416666666666666,1.04578
1316,5,ap1000,1.04305645884925,4127.912586510597,1.0,0.3194444444444444,1.04274
1317,6,ap1000,1.042361625462775,4064.004701244427,1.0,0.0972222222222222,1.04236
1318,7,ap1000,1.0433722927892812,4156.933540312122,1.0,0.1388888693678135,1.04312
1319,8,ap1000,1.0383821248965284,3696.3391391539058,1.0,1.0,1.03818
1320,4,ap1000,1.0449356662574691,4300.328499496075,1.0,1.0,1.04464
1321,5,ap1000,1.04253533384925,4079.989662527888,1.0,0.4583333333333333,1.04236
1322,6,ap1000,1.041887875462775,4020.382274260522,1.0,0.4166666666666667,1.0416
